# Output TH1D: 12 (proton energy )
# BinCenter,Content,BinHalfWidth,Error
26850,127,50,11.2694
26950,148,50,12.1655
27050,132,50,11.4891
27150,132,50,11.4891
27250,118,50,10.8628
27350,125,50,11.1803
27450,124,50,11.1355
27550,137,50,11.7047
27650,129,50,11.3578
27750,114,50,10.6771
27850,110,50,10.4881
27950,107,50,10.3441
28050,122,50,11.0454
28150,125,50,11.1803
28250,110,50,10.4881
28350,106,50,10.2956
28450,113,50,10.6301
28550,107,50,10.3441
28650,98,50,9.89949
28750,133,50,11.5326
28850,99,50,9.94987
28950,92,50,9.59166
29050,117,50,10.8167
29150,110,50,10.4881
29250,115,50,10.7238
29350,102,50,10.0995
29450,106,50,10.2956
29550,99,50,9.94987
29650,106,50,10.2956
29750,111,50,10.5357
29850,91,50,9.53939
29950,93,50,9.64365
30050,102,50,10.0995
30150,114,50,10.6771
30250,83,50,9.11043
30350,109,50,10.4403
30450,87,50,9.32738
30550,110,50,10.4881
30650,88,50,9.38083
30750,93,50,9.64365
30850,97,50,9.84886
30950,101,50,10.0499
31050,99,50,9.94987
31150,116,50,10.7703
31250,92,50,9.59166
31350,81,50,9
31450,96,50,9.79796
31550,97,50,9.84886
31650,103,50,10.1489
31750,106,50,10.2956
31850,68,50,8.24621
31950,91,50,9.53939
32050,103,50,10.1489
32150,80,50,8.94427
32250,75,50,8.66025
32350,95,50,9.74679
32450,104,50,10.198
32550,78,50,8.83176
32650,82,50,9.05539
32750,88,50,9.38083
32850,96,50,9.79796
32950,92,50,9.59166
33050,82,50,9.05539
33150,102,50,10.0995
33250,78,50,8.83176
33350,76,50,8.7178
33450,92,50,9.59166
33550,94,50,9.69536
33650,91,50,9.53939
33750,76,50,8.7178
33850,95,50,9.74679
33950,89,50,9.43398
34050,89,50,9.43398
34150,76,50,8.7178
34250,62,50,7.87401
34350,80,50,8.94427
34450,71,50,8.42615
34550,78,50,8.83176
34650,85,50,9.21954
34750,97,50,9.84886
34850,86,50,9.27362
34950,93,50,9.64365
35050,67,50,8.18535
35150,72,50,8.48528
35250,86,50,9.27362
35350,89,50,9.43398
35450,64,50,8
35550,73,50,8.544
35650,82,50,9.05539
35750,74,50,8.60233
35850,81,50,9
35950,63,50,7.93725
36050,81,50,9
36150,73,50,8.544
36250,63,50,7.93725
36350,67,50,8.18535
