# Output TH1D: 11 (+/-mu energy )
# BinCenter,Content,BinHalfWidth,Error
27450,0,50,0
27550,4,50,2
27650,3,50,1.73205
27750,1,50,1
27850,2,50,1.41421
27950,1,50,1
28050,3,50,1.73205
28150,3,50,1.73205
28250,0,50,0
28350,1,50,1
28450,2,50,1.41421
28550,2,50,1.41421
28650,2,50,1.41421
28750,3,50,1.73205
28850,2,50,1.41421
28950,3,50,1.73205
29050,3,50,1.73205
29150,0,50,0
29250,3,50,1.73205
29350,1,50,1
29450,1,50,1
29550,1,50,1
29650,4,50,2
29750,2,50,1.41421
29850,1,50,1
29950,1,50,1
30050,1,50,1
30150,1,50,1
30250,4,50,2
30350,2,50,1.41421
30450,0,50,0
30550,0,50,0
30650,0,50,0
30750,1,50,1
30850,1,50,1
30950,0,50,0
31050,0,50,0
31150,2,50,1.41421
31250,0,50,0
31350,0,50,0
31450,1,50,1
31550,0,50,0
31650,2,50,1.41421
31750,0,50,0
31850,0,50,0
31950,0,50,0
32050,0,50,0
32150,0,50,0
32250,0,50,0
32350,0,50,0
32450,1,50,1
32550,0,50,0
32650,1,50,1
32750,0,50,0
32850,2,50,1.41421
32950,0,50,0
33050,1,50,1
33150,0,50,0
33250,2,50,1.41421
33350,0,50,0
33450,3,50,1.73205
33550,1,50,1
33650,0,50,0
33750,2,50,1.41421
33850,0,50,0
33950,1,50,1
34050,3,50,1.73205
34150,1,50,1
34250,0,50,0
34350,1,50,1
34450,0,50,0
34550,1,50,1
34650,4,50,2
34750,1,50,1
34850,2,50,1.41421
34950,0,50,0
35050,0,50,0
35150,0,50,0
35250,2,50,1.41421
35350,0,50,0
35450,0,50,0
35550,2,50,1.41421
35650,3,50,1.73205
35750,0,50,0
35850,1,50,1
35950,1,50,1
36050,2,50,1.41421
36150,1,50,1
36250,0,50,0
36350,0,50,0
36450,0,50,0
36550,1,50,1
36650,0,50,0
36750,0,50,0
36850,0,50,0
36950,1,50,1
37050,3,50,1.73205
37150,3,50,1.73205
37250,0,50,0
37350,0,50,0
37450,1,50,1
37550,1,50,1
37650,0,50,0
37750,0,50,0
37850,0,50,0
37950,0,50,0
38050,0,50,0
38150,0,50,0
38250,1,50,1
38350,2,50,1.41421
38450,1,50,1
38550,0,50,0
38650,0,50,0
38750,1,50,1
38850,1,50,1
38950,0,50,0
39050,0,50,0
39150,1,50,1
39250,0,50,0
39350,0,50,0
39450,1,50,1
39550,0,50,0
39650,0,50,0
39750,0,50,0
39850,1,50,1
39950,0,50,0
40050,1,50,1
40150,0,50,0
40250,0,50,0
40350,0,50,0
40450,1,50,1
40550,1,50,1
